max_df,min_cluster_size,min_samples,coherence,diversity,silhouette,combined_score
0.45,35,30,0.481186121173804,0.76,0.058329205960035324,0.4331717757112798
0.45,30,30,0.481186121173804,0.76,0.058329205960035324,0.4331717757112798
0.45,40,30,0.481186121173804,0.76,0.050461284816265106,0.43054913533002304
0.8999999999999999,30,30,0.5067298220724606,0.72,0.058329205960035324,0.42835300934416526
0.85,35,30,0.4976949400399813,0.72,0.058329205960035324,0.42534138200000554
0.55,60,20,0.4995817036127822,0.72,0.05441455915570259,0.4246654209228282
0.5,60,20,0.4757151561134859,0.74,0.05441455915570259,0.4233765717563962
0.5,40,20,0.47610760756773834,0.74,0.053379125893116,0.42316224448695144
0.45,50,15,0.5182647520880072,0.7,0.04845321178436279,0.42223932129078995
0.95,40,30,0.49191352378444825,0.72,0.050461284816265106,0.4207916028669045
0.75,40,30,0.4883945807595264,0.72,0.050461284816265106,0.41961862185859716
0.65,45,20,0.4830667083108258,0.72,0.05297412723302841,0.41868027851461803
0.65,40,20,0.479867411449881,0.72,0.053379125893116,0.417748845780999
0.6,60,20,0.47259130624261575,0.72,0.05441455915570259,0.4156686217994394
0.55,40,20,0.4929237093612841,0.7,0.053379125893116,0.41543427841813335
0.5,35,30,0.4650371232169776,0.72,0.058329205960035324,0.41445544305900434
0.6,50,20,0.4796064927351107,0.7,0.05297412723302841,0.41086020665604633
0.8,60,15,0.4994403305222492,0.675,0.04961882531642914,0.4080197186128928
0.6,40,30,0.471240599533613,0.7,0.050461284816265106,0.4072339614499594
0.45,40,35,0.4737696578251371,0.75,-0.0032163099385797977,0.40685111596218576
0.75,50,20,0.44593664948712564,0.72,0.05297412723302841,0.40630359224005136
0.8,50,20,0.44593664948712564,0.72,0.05297412723302841,0.40630359224005136
0.8999999999999999,40,20,0.46248180772951475,0.7,0.053379125893116,0.40528697787421025
0.55,55,25,0.5651174447171925,0.6,0.047088537365198135,0.40406866069413017
0.7,55,15,0.4849455548033772,0.675,0.04845321178436279,0.40279958886258
0.95,55,20,0.4552494439093584,0.7,0.05297412723302841,0.4027411903807956
0.8999999999999999,50,20,0.4552494439093584,0.7,0.05297412723302841,0.4027411903807956
0.8999999999999999,60,20,0.45152464865961894,0.7,0.05441455915570259,0.4019797359384405
0.85,45,15,0.47892516023937787,0.675,0.04845321178436279,0.40079279067458023
0.85,55,20,0.4483908008280751,0.7,0.05297412723302841,0.4004549760203678
0.8,55,20,0.4483908008280751,0.7,0.05297412723302841,0.4004549760203678
0.75,55,20,0.4483908008280751,0.7,0.05297412723302841,0.4004549760203678
0.5,40,35,0.4682797381935104,0.7333333333333333,-0.0032163099385797977,0.39946558719608793
0.85,40,35,0.4681894495323606,0.7333333333333333,-0.0032163099385797977,0.3994354909757047
0.7,40,35,0.4655218823809818,0.7333333333333333,-0.0032163099385797977,0.3985463019252451
0.8,45,25,0.42774774316294656,0.7166666666666667,0.050745777785778046,0.3983867292051304
0.6,40,35,0.47804387607834925,0.7166666666666667,-0.0032163099385797977,0.39716474426881204
0.65,55,25,0.5336102854792739,0.6,0.047088537365198135,0.3935662742814907
